Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.97781,0.972936,0.438571,0.975367,6696,2875,2809068885,2546914956.000000,0.000000,522589,.,.,295019.000000,192900.000000,,1.52938828409,510993,.,.,287157.000000,192391.000000,,1.49256981875,11596,.,.,7862.000000,509.000000,,15.4459724951,968394,.,.,621818.000000,312530.000000,,1.98962659585,528970,.,.,327840.000000,191545.000000,,1.71155603122,14714,.,.,8044.000000,6150.000000,,1.30796747967,424710,.,.,285934.000000,114835.000000,,2.48995515305
INDEL,*,*,PASS,*,QUAL,*,0.97781,0.972936,0.438571,0.975367,6696,2875,2809068885,2546914956.000000,0.000000,522589,.,.,295019.000000,192900.000000,,1.52938828409,510993,.,.,287157.000000,192391.000000,,1.49256981875,11596,.,.,7862.000000,509.000000,,15.4459724951,968394,.,.,621818.000000,312530.000000,,1.98962659585,528970,.,.,327840.000000,191545.000000,,1.71155603122,14714,.,.,8044.000000,6150.000000,,1.30796747967,424710,.,.,285934.000000,114835.000000,,2.48995515305
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.978693,0.976298,0.532759,0.977494,2980,1147,83977437.000000,62848826.000000,0.000000,229174,.,.,127216.000000,85660.000000,,1.48512724726,224291,.,.,123810.000000,85290.000000,,1.4516355962,4883,.,.,3406.000000,370.000000,,9.20540540541,511087,.,.,326687.000000,164204.000000,,1.98951913473,233141,.,.,143640.000000,84944.000000,,1.69099642117,5660,.,.,2912.000000,2469.000000,,1.17942486837,272286,.,.,180135.000000,76791.000000,,2.34578270891
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.978693,0.976298,0.532759,0.977494,2980,1147,83977437.000000,62848826.000000,0.000000,229174,.,.,127216.000000,85660.000000,,1.48512724726,224291,.,.,123810.000000,85290.000000,,1.4516355962,4883,.,.,3406.000000,370.000000,,9.20540540541,511087,.,.,326687.000000,164204.000000,,1.98951913473,233141,.,.,143640.000000,84944.000000,,1.69099642117,5660,.,.,2912.000000,2469.000000,,1.17942486837,272286,.,.,180135.000000,76791.000000,,2.34578270891
INDEL,*,AllTandemRepeats_201to10000bp_slop5,ALL,*,QUAL,*,0.97846,0.978928,0.866287,0.978694,79,35,38076769.000000,13750026.000000,0.000000,7428,.,.,4387.000000,2668.000000,,1.64430284858,7268,.,.,4262.000000,2665.000000,,1.59924953096,160,.,.,125.000000,3.000000,,41.6666666667,56786,.,.,39875.000000,14734.000000,,2.70632550563,7433,.,.,4707.000000,2642.000000,,1.78160484481,160,.,.,81.000000,76.000000,,1.06578947368,49193,.,.,35087.000000,12016.000000,,2.92002330226
INDEL,*,AllTandemRepeats_201to10000bp_slop5,PASS,*,QUAL,*,0.97846,0.978928,0.866287,0.978694,79,35,38076769.000000,13750026.000000,0.000000,7428,.,.,4387.000000,2668.000000,,1.64430284858,7268,.,.,4262.000000,2665.000000,,1.59924953096,160,.,.,125.000000,3.000000,,41.6666666667,56786,.,.,39875.000000,14734.000000,,2.70632550563,7433,.,.,4707.000000,2642.000000,,1.78160484481,160,.,.,81.000000,76.000000,,1.06578947368,49193,.,.,35087.000000,12016.000000,,2.92002330226
INDEL,*,AllTandemRepeats_51to200bp_slop5,ALL,*,QUAL,*,0.947726,0.951762,0.597919,0.94974,1010,495,26604713.000000,19569916.000000,0.000000,32119,.,.,17782.000000,9285.000000,,1.91513193323,30440,.,.,16857.000000,9250.000000,,1.82237837838,1679,.,.,925.000000,35.000000,,26.4285714286,86669,.,.,63160.000000,19764.000000,,3.19570937057,33167,.,.,23128.000000,9131.000000,,2.53290986748,1681,.,.,717.000000,902.000000,,0.794900221729,51821,.,.,39315.000000,9731.000000,,4.04018086528
INDEL,*,AllTandemRepeats_51to200bp_slop5,PASS,*,QUAL,*,0.947726,0.951762,0.597919,0.94974,1010,495,26604713.000000,19569916.000000,0.000000,32119,.,.,17782.000000,9285.000000,,1.91513193323,30440,.,.,16857.000000,9250.000000,,1.82237837838,1679,.,.,925.000000,35.000000,,26.4285714286,86669,.,.,63160.000000,19764.000000,,3.19570937057,33167,.,.,23128.000000,9131.000000,,2.53290986748,1681,.,.,717.000000,902.000000,,0.794900221729,51821,.,.,39315.000000,9731.000000,,4.04018086528
INDEL,*,AllTandemRepeats_gt10000bp_slop5,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2506,.,.,1391.000000,1031.000000,,1.34917555771,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2506,.,.,1391.000000,1031.000000,,1.34917555771
INDEL,*,AllTandemRepeats_gt10000bp_slop5,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2506,.,.,1391.000000,1031.000000,,1.34917555771,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,2506,.,.,1391.000000,1031.000000,,1.34917555771
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.96765,0.968258,0.803705,0.967954,321,149,119934799.000000,20670037.000000,0.000000,17156,.,.,10195.000000,5528.000000,,1.84424746744,16601,.,.,9827.000000,5522.000000,,1.77960883738,555,.,.,368.000000,6.000000,,61.3333333333,90517,.,.,63693.000000,23083.000000,,2.75930338344,17204,.,.,11408.000000,5460.000000,,2.08937728938,564,.,.,263.000000,281.000000,,0.935943060498,72749,.,.,52022.000000,17342.000000,,2.9997693461
